n_vertices,n_edges,edge_percentage,exact_size,exact_operations,exact_configs,exact_time,greedy_size,greedy_operations,greedy_time,precision
21,52,0.25,4,3698,1572,0.0015354156494140625,4,84,5.5789947509765625e-05,1.0
21,105,0.5,3,1204,237,0.0005085468292236328,3,63,5.459785461425781e-05,1.0
21,157,0.75,2,137,26,6.914138793945312e-05,2,42,4.029273986816406e-05,1.0
22,30,0.125,7,236572,110127,0.09897160530090332,8,176,9.608268737792969e-05,0.875
22,57,0.25,4,6946,2372,0.002706289291381836,4,88,6.079673767089844e-05,1.0
22,115,0.5,3,1456,278,0.000583648681640625,3,66,6.651878356933594e-05,1.0
22,173,0.75,2,118,25,6.413459777832031e-05,2,44,4.839897155761719e-05,1.0
23,31,0.125,8,1426518,473232,0.4098474979400635,8,184,9.584426879882812e-05,1.0
23,63,0.25,4,14829,3788,0.005202531814575195,4,92,6.628036499023438e-05,1.0
23,126,0.5,2,292,91,0.00012636184692382812,2,46,4.291534423828125e-05,1.0
23,189,0.75,2,135,26,8.535385131835938e-05,2,46,4.9591064453125e-05,1.0
24,36,0.125,8,1308861,560633,0.41727137565612793,9,216,0.00010609626770019531,0.8888888888888888
24,69,0.25,5,57193,13190,0.02560257911682129,5,120,9.72747802734375e-05,1.0
24,138,0.5,2,281,61,0.0001773834228515625,2,48,4.863739013671875e-05,1.0
24,207,0.75,2,163,27,0.0001475811004638672,2,48,5.888938903808594e-05,1.0
25,38,0.125,8,3408179,850048,0.9501152038574219,8,200,8.821487426757812e-05,1.0
25,75,0.25,5,65458,16166,0.027538061141967773,5,125,8.893013000488281e-05,1.0
25,150,0.5,3,1653,390,0.0006716251373291016,3,75,6.67572021484375e-05,1.0
25,225,0.75,2,113,26,7.081031799316406e-05,2,50,5.841255187988281e-05,1.0
26,41,0.125,7,1223074,314639,0.41843390464782715,8,208,0.00010848045349121094,0.875
26,81,0.25,4,56077,14799,0.02292013168334961,5,130,0.0001239776611328125,0.8
26,162,0.5,3,1713,423,0.0007162094116210938,3,78,7.224082946777344e-05,1.0
26,243,0.75,2,431,57,0.0002377033233642578,2,52,6.651878356933594e-05,1.0
27,43,0.125,6,392601,145697,0.13758182525634766,6,162,8.749961853027344e-05,1.0
27,87,0.25,5,85543,21722,0.03695511817932129,5,135,0.00010585784912109375,1.0
27,175,0.5,3,2322,484,0.0009553432464599609,3,81,8.940696716308594e-05,1.0
27,263,0.75,2,147,30,9.34600830078125e-05,2,54,6.318092346191406e-05,1.0
28,47,0.125,7,3779411,1154434,1.1928589344024658,7,196,0.00012135505676269531,1.0
28,94,0.25,4,21620,5389,0.008321285247802734,4,112,0.00015974044799804688,1.0
28,189,0.5,3,2608,464,0.0010695457458496094,3,84,8.082389831542969e-05,1.0
28,283,0.75,2,270,37,0.0001614093780517578,2,56,7.343292236328125e-05,1.0
29,50,0.125,7,3155058,1161889,0.962496280670166,7,203,9.894371032714844e-05,1.0
29,101,0.25,5,110372,31234,0.046820640563964844,5,145,0.00011110305786132812,1.0
29,203,0.5,3,2170,440,0.0009183883666992188,3,87,8.225440979003906e-05,1.0
29,304,0.75,2,278,36,0.0001881122589111328,2,58,7.987022399902344e-05,1.0
30,54,0.125,7,6744533,2127018,1.986603021621704,9,270,0.0001404285430908203,0.7777777777777778
30,108,0.25,4,15978,5729,0.005959987640380859,4,120,9.441375732421875e-05,1.0
30,217,0.5,2,1577,407,0.0007295608520507812,3,90,9.202957153320312e-05,0.6666666666666666
30,326,0.75,2,171,37,0.0001251697540283203,2,60,7.748603820800781e-05,1.0
31,58,0.125,7,2698001,1161317,0.8901858329772949,7,217,0.00010752677917480469,1.0
31,116,0.25,5,203633,42214,0.08691573143005371,5,155,0.00013589859008789062,1.0
31,232,0.5,3,2391,565,0.0009942054748535156,3,93,9.608268737792969e-05,1.0
31,348,0.75,2,340,48,0.0002257823944091797,2,62,8.034706115722656e-05,1.0
32,63,0.125,8,31640967,7620084,9.076600790023804,10,320,0.00017333030700683594,0.8
32,124,0.25,5,219083,49988,0.09530138969421387,5,160,0.00014495849609375,1.0
32,248,0.5,3,2320,529,0.0011608600616455078,3,96,0.00010657310485839844,1.0
32,372,0.75,2,202,36,0.00016450881958007812,2,64,8.368492126464844e-05,1.0
33,66,0.125,7,7612049,2320500,2.480952501296997,7,231,0.00012826919555664062,1.0
33,132,0.25,5,376892,113457,0.1714951992034912,6,198,0.00016951560974121094,0.8333333333333334
33,264,0.5,3,3139,822,0.0014455318450927734,3,99,0.00011682510375976562,1.0
33,396,0.75,2,205,36,0.00014448165893554688,2,66,9.226799011230469e-05,1.0
34,70,0.125,8,20884080,7255721,7.907092332839966,8,272,0.000164031982421875,1.0
34,140,0.25,5,418950,100189,0.17944574356079102,5,170,0.00015020370483398438,1.0
34,280,0.5,3,2767,629,0.0013582706451416016,3,102,0.000133514404296875,1.0
34,420,0.75,2,160,36,0.0001380443572998047,2,68,9.34600830078125e-05,1.0
35,74,0.125,8,79648472,21738348,24.2294659614563,10,350,0.00018262863159179688,0.8
35,148,0.25,5,232151,60575,0.10994195938110352,6,210,0.0001850128173828125,0.8333333333333334
35,297,0.5,3,4647,822,0.002772092819213867,3,105,0.00032067298889160156,1.0
35,446,0.75,2,232,40,0.00020051002502441406,2,70,9.703636169433594e-05,1.0
36,79,0.125,8,65580949,18000121,21.173426628112793,9,324,0.0001811981201171875,0.8888888888888888
36,157,0.25,5,272505,68181,0.1288318634033203,5,180,0.00017380714416503906,1.0
36,315,0.5,3,4339,778,0.0022170543670654297,3,108,0.00014257431030273438,1.0
36,472,0.75,2,198,37,0.00014400482177734375,2,72,0.0001385211944580078,1.0
37,83,0.125,8,56350800,14419978,19.15963315963745,9,333,0.00020742416381835938,0.8888888888888888
37,166,0.25,5,268980,80056,0.12624335289001465,5,185,0.00018286705017089844,1.0
37,333,0.5,3,4528,886,0.0022661685943603516,3,111,0.00014972686767578125,1.0
37,499,0.75,2,182,39,0.00014853477478027344,2,74,0.00011539459228515625,1.0
38,87,0.125,8,162066630,40198092,49.45698857307434,11,418,0.00021529197692871094,0.7272727272727273
38,175,0.25,5,1112588,227750,0.4582858085632324,6,228,0.00019097328186035156,0.8333333333333334
38,351,0.5,3,3588,753,0.0020492076873779297,3,114,0.00016355514526367188,1.0
38,527,0.75,2,308,45,0.00021576881408691406,2,76,0.00010895729064941406,1.0
39,93,0.125,8,81256974,23732428,26.78986668586731,8,312,0.0001819133758544922,1.0
39,185,0.25,5,1649796,431230,0.6928694248199463,5,195,0.0001742839813232422,1.0
39,370,0.5,3,15311,2238,0.009299516677856445,3,117,0.0002880096435546875,1.0
39,555,0.75,2,218,42,0.00015211105346679688,2,78,0.00011134147644042969,1.0
40,97,0.125,8,185881809,48433527,59.81222605705261,9,360,0.00020623207092285156,0.8888888888888888
40,195,0.25,5,1749500,336619,0.73209547996521,6,240,0.00022530555725097656,0.8333333333333334
40,390,0.5,3,6694,1108,0.0036439895629882812,3,120,0.00018525123596191406,1.0
40,585,0.75,2,523,54,0.00035643577575683594,2,80,0.00011587142944335938,1.0
