algorithm,time_ms,mem_kb,mae_all,mre_pct_all,spearman
Exact,0.8816709996608552,5.46484375,0.0,0.0,1.0
FixedProb(p=0.5),0.9278808500312152,5.61328125,5.674324324324324,28.697883843222236,0.9752890123949396
FrequentCount(k=100),1.025067000227864,5.46484375,0.0,0.0,1.0000000000000002
